ticker,Date,num_mentions
AMOM,02-01,6
AMOM,06-01,1
AMP,01-01,12
AMP,02-01,40
AMP,03-01,12
AMP,04-01,2
AMP,05-01,1
AMP,06-01,5
AMPE,02-01,2
AMRC,02-01,2
AMRC,05-01,1
AMRN,02-01,24
AMRN,03-01,8
AMRN,04-01,7
AMRN,05-01,1
AMRN,06-01,7
AMRN,08-01,17
AMRN,09-01,1
AMRS,01-01,16
AMRS,02-01,5
AMRS,03-01,48
AMRS,04-01,8
AMRS,05-01,10
AMRS,06-01,4
AMRS,09-01,1
AMRS,10-01,4
AMS,02-01,3
AMS,03-01,1
AMT,01-01,14
AMT,02-01,6
AMT,04-01,1
AMT,05-01,1
AMT,06-01,3
AMT,10-01,1
AMTI,05-01,1
AMTX,01-01,2
AMTX,03-01,2
AMTX,05-01,1
AMTX,06-01,23
AMWD,03-01,1
AMWL,09-01,4
AMX,09-01,1
AMZN,01-01,526
AMZN,02-01,1079
AMZN,03-01,101
AMZN,04-01,146
AMZN,05-01,105
AMZN,06-01,186
AMZN,07-01,287
AMZN,08-01,155
AMZN,09-01,89
AMZN,10-01,15
AMZN,12-01,116
AN,01-01,388
AN,02-01,166
AN,03-01,75
AN,04-01,24
AN,05-01,10
AN,06-01,24
AN,07-01,10
AN,08-01,5
AN,09-01,5
AN,10-01,2
AN,12-01,4
ANAB,03-01,1
ANF,01-01,2
ANF,03-01,3
ANGI,02-01,3
ANGI,06-01,3
ANSS,01-01,2
ANTM,12-01,4
ANVS,03-01,3
ANVS,06-01,1
ANY,01-01,182
ANY,12-01,16
AON,03-01,1
AON,04-01,1
AON,05-01,1
AOS,04-01,1
AOUT,05-01,6
AOUT,06-01,2
AP,01-01,22
AP,02-01,30
AP,03-01,7
AP,04-01,10
AP,05-01,1
AP,06-01,3
AP,09-01,3
AP,12-01,4
APA,01-01,2
APA,02-01,10
APA,03-01,5
APA,04-01,4
APA,05-01,3
APA,07-01,1
APA,08-01,1
APA,09-01,2
APD,04-01,4
APD,05-01,4
APD,07-01,2
APG,01-01,2
APH,01-01,4
APH,02-01,9
APH,03-01,4
APH,04-01,1
APHA,01-01,694
APHA,02-01,3399
APHA,03-01,387
APHA,04-01,628
APHA,12-01,28
API,01-01,30
API,02-01,35
API,03-01,25
API,04-01,10
API,05-01,6
API,06-01,15
API,07-01,10
API,08-01,11
API,09-01,6
API,12-01,2
APLE,03-01,1
APLE,04-01,1
APLS,09-01,2
APO,02-01,1
APO,03-01,7
APO,06-01,1
APO,10-01,2
APOP,06-01,3
APP,04-01,1
APP,05-01,3
APP,06-01,5
APP,07-01,2
APP,08-01,1
APP,10-01,3
APPH,03-01,2
